device_timestamp_ms,setpoint,adc_reading,control_signal,solenoid_state,received_iso
16151,507,507,126,1,2025-10-22T11:17:32.273182
16251,0,0,0,0,2025-10-22T11:17:32.372167
16351,0,0,0,0,2025-10-22T11:17:32.466711
16451,0,0,0,0,2025-10-22T11:17:32.569631
16551,174,174,43,1,2025-10-22T11:17:32.668136
16651,2345,2345,585,1,2025-10-22T11:17:32.778434
16751,3199,3199,799,1,2025-10-22T11:17:32.857490
16851,2073,2073,517,1,2025-10-22T11:17:32.957518
16951,0,0,0,0,2025-10-22T11:17:33.059516
17051,0,0,0,0,2025-10-22T11:17:33.170120
17151,0,0,0,0,2025-10-22T11:17:33.265023
17251,0,0,0,0,2025-10-22T11:17:33.367478
17351,864,864,215,1,2025-10-22T11:17:33.467233
17451,2762,2762,689,1,2025-10-22T11:17:33.561267
17551,3049,3049,761,1,2025-10-22T11:17:33.665587
17651,1463,1463,365,1,2025-10-22T11:17:33.767544
17751,0,0,0,0,2025-10-22T11:17:33.864493
17851,0,0,0,0,2025-10-22T11:17:33.974162
17951,0,0,0,0,2025-10-22T11:17:34.074492
18051,0,0,0,0,2025-10-22T11:17:34.165862
18151,1516,1516,378,1,2025-10-22T11:17:34.278876
18251,3048,3048,761,1,2025-10-22T11:17:34.379144
18351,2745,2745,685,1,2025-10-22T11:17:34.479666
18451,827,827,206,1,2025-10-22T11:17:34.557348
18551,0,0,0,0,2025-10-22T11:17:34.659402
18651,0,0,0,0,2025-10-22T11:17:34.759638
18751,0,0,0,0,2025-10-22T11:17:34.859135
18851,0,0,0,0,2025-10-22T11:17:34.972526
18951,2106,2106,526,1,2025-10-22T11:17:35.061732
19051,3197,3197,798,1,2025-10-22T11:17:35.163586
19151,2313,2313,577,1,2025-10-22T11:17:35.276705
19251,139,139,34,1,2025-10-22T11:17:35.380796
19351,0,0,0,0,2025-10-22T11:17:35.464275
19451,0,0,0,0,2025-10-22T11:17:35.563870
19551,0,0,0,0,2025-10-22T11:17:35.663271
19651,566,566,141,1,2025-10-22T11:17:35.775439
19751,2588,2588,646,1,2025-10-22T11:17:35.857349
19851,3128,3128,781,1,2025-10-22T11:17:35.957454
19951,1740,1740,434,1,2025-10-22T11:17:36.057249
20051,0,0,0,0,2025-10-22T11:17:36.159032
20151,0,0,0,0,2025-10-22T11:17:36.270956
20251,0,0,0,0,2025-10-22T11:17:36.370718
20351,0,0,0,0,2025-10-22T11:17:36.479481
20451,1209,1209,302,1,2025-10-22T11:17:36.557560
20551,2939,2939,734,1,2025-10-22T11:17:36.657320
20651,2895,2895,723,1,2025-10-22T11:17:36.757169
20751,1127,1127,281,1,2025-10-22T11:17:36.883699
20851,0,0,0,0,2025-10-22T11:17:36.974242
20951,0,0,0,0,2025-10-22T11:17:37.070123
21051,0,0,0,0,2025-10-22T11:17:37.174409
21151,0,0,0,0,2025-10-22T11:17:37.281387
21251,1836,1836,458,1,2025-10-22T11:17:37.357845
21351,3161,3161,789,1,2025-10-22T11:17:37.457373
21451,2524,2524,630,1,2025-10-22T11:17:37.557894
21551,454,454,113,1,2025-10-22T11:17:37.661764
21651,0,0,0,0,2025-10-22T11:17:37.768610
