timestamp_ms,setpoint,adc_reading,control_signal,solenoid_state,local_timestamp
43,411,411,0,0,2025-10-29T15:47:40.701864
51,495,495,102,1,2025-10-29T15:47:40.713830
61,571,571,123,1,2025-10-29T15:47:40.718031
71,635,635,142,1,2025-10-29T15:47:40.722014
81,664,664,158,1,2025-10-29T15:47:40.723851
91,697,697,165,1,2025-10-29T15:47:40.725182
101,715,715,174,1,2025-10-29T15:47:40.726853
111,727,727,178,1,2025-10-29T15:47:40.728591
121,760,760,181,1,2025-10-29T15:47:40.729829
132,747,747,189,1,2025-10-29T15:47:40.735329
141,746,746,186,1,2025-10-29T15:47:40.745311
151,745,745,186,1,2025-10-29T15:47:40.755300
161,744,744,186,1,2025-10-29T15:47:40.860418
171,762,762,185,1,2025-10-29T15:47:40.897811
181,749,749,190,1,2025-10-29T15:47:40.899371
191,796,796,187,1,2025-10-29T15:47:40.901234
201,747,747,198,1,2025-10-29T15:47:40.902542
211,797,797,186,1,2025-10-29T15:47:40.903737
221,764,764,199,1,2025-10-29T15:47:40.904965
232,761,761,190,1,2025-10-29T15:47:40.906168
241,792,792,190,1,2025-10-29T15:47:40.907364
251,749,749,197,1,2025-10-29T15:47:40.908583
261,782,782,187,1,2025-10-29T15:47:40.909865
271,809,809,195,1,2025-10-29T15:47:40.911718
281,760,760,202,1,2025-10-29T15:47:40.913318
291,793,793,189,1,2025-10-29T15:47:40.914522
301,764,764,198,1,2025-10-29T15:47:40.915745
311,761,761,190,1,2025-10-29T15:47:40.916973
321,763,763,190,1,2025-10-29T15:47:40.925310
332,750,750,190,1,2025-10-29T15:47:40.935308
341,794,794,187,1,2025-10-29T15:47:40.945313
351,795,795,198,1,2025-10-29T15:47:41.051616
361,550,550,198,1,2025-10-29T15:47:41.084489
371,236,236,137,1,2025-10-29T15:47:41.086431
381,8,8,58,1,2025-10-29T15:47:41.087771
391,18,18,1,1,2025-10-29T15:47:41.088942
401,17,17,4,1,2025-10-29T15:47:41.093966
411,16,16,4,1,2025-10-29T15:47:41.098662
421,22,22,3,1,2025-10-29T15:47:41.099919
432,3,3,5,1,2025-10-29T15:47:41.101057
441,19,19,0,0,2025-10-29T15:47:41.102204
451,8,8,4,1,2025-10-29T15:47:41.105376
461,18,18,1,1,2025-10-29T15:47:41.112742
471,25,25,4,1,2025-10-29T15:47:41.117075
481,4,4,6,1,2025-10-29T15:47:41.122103
491,17,17,0,0,2025-10-29T15:47:41.123979
501,17,17,4,1,2025-10-29T15:47:41.158442
511,9,9,4,1,2025-10-29T15:47:41.214517
521,23,23,2,1,2025-10-29T15:47:41.272900
532,19,19,5,1,2025-10-29T15:47:41.279026
541,6,6,4,1,2025-10-29T15:47:41.284101
551,8,8,1,1,2025-10-29T15:47:41.285920
561,7,7,1,1,2025-10-29T15:47:41.289334
571,27,27,1,1,2025-10-29T15:47:41.292034
581,8,8,6,1,2025-10-29T15:47:41.293381
591,5,5,1,1,2025-10-29T15:47:41.297409
601,21,21,1,1,2025-10-29T15:47:41.301503
